08.10.2014 16:16	Абдрахманов А О	17	 О проекте Закона «О внесении дополнений и изменений в Закон Кыргызской Республики «О лицензионно-разрешительной системе в Кыргызской Республике» (вносится на первое чтение) (инициатор – Правительство, постановление № 494 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении) (обсуждение проводилось 02.10.14)
08.10.2014 16:17	Абдрахманов А О	323	 О проекте Закона «О товарной номенклатуре внешнеэкономической деятельности Кыргызской Республики» (вносится на первое чтение) (инициатор – Правительство, постановление № 496 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении) (обсуждение проводилось 02.10.14)
08.10.2014 16:17	Абдрахманов А О	425	 О проекте Закона «О таможенном регулировании в Кыргызской Республике» (вносится на первое чтение) (инициатор – Правительство, постановление № 498 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении) (обсуждение проводилось 02.10.14)
08.10.2014 16:18	Абдрахманов А О	483	 О проекте Закона «О внесении изменений и дополнений в Закон Кыргызской Республики «О свободных экономических зонах в Кыргызской Республике» (вносится на первое чтение) (инициатор – Правительство, постановление № 499 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении) (обсуждение проводилось 02.10.14)
08.10.2014 16:19	Абдрахманов А О	532	 О проекте Закона «О внесении изменений и дополнений в Закон Кыргызской Республики «Об основах технического регулирования в Кыргызской Республике» (вносится на первое чтение) (инициатор – Правительство, постановление № 500 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении) (обсуждение проводилось 02.10.14)
08.10.2014 16:19	Абдрахманов А О	601	 О проекте Закона «О таможенном тарифе Кыргызской Республики» (вносится на первое чтение) (инициатор – Правительство, постановление № 503 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении) (обсуждение проводилось 02.10.14)
08.10.2014 16:20	Абдрахманов А О	623	 О проекте Закона «О внесении изменений в некоторые законодательные акты Кыргызской Республики» (в Таможенный кодекс, Закон «О таможенном тарифе Кыргызской Республики») (вносится на первое чтение) (инициатор – Правительство, постановление № 504 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении) (обсуждение проводилось 02.10.14)
08.10.2014 16:21	Абдрахманов А О	665	 О проекте Закона «О внесении изменений и дополнений в Налоговый кодекс Кыргызской Республики» (вносится на первое чтение) (инициатор – Правительство, постановление № 505 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении) (обсуждение проводилось 02.10.14)
08.10.2014 16:22	Абдрахманов А О	698	 О проекте Закона «О внесении дополнений и изменения в Закон Кыргызской Республики «О противодействии финансированию терроризма и легализации (отмыванию) доходов, полученных преступным путем» (вносится на первое чтение) (инициатор – Правительство, постановление № 506 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении, решение Комитета по законности, правопорядку и борьбе с преступностью - одобрить, решение Комитета по обороне и безопасности - одобрить) (обсуждение проводилось 02.10.14)
08.10.2014 16:23	Абдрахманов А О	67	 О проекте Закона «О внесении дополнений и изменений в некоторые законодательные акты Кыргызской Республики» (в Кодекс об административной ответственности, Уголовный кодекс, законы «О порядке проведения проверок субъектов предпринимательства», «О государственной границе Кыргызской Республики») (вносится на первое чтение) (инициатор – Правительство, постановление № 507 от 29.08.14) (решение Комитета по экономической и фискальной политике – принять в первом чтении, решение Комитета по законности, правопорядку и борьбе с преступностью - одобрить, решение Комитета по обороне и безопасности - одобрить) (обсуждение проводилось 02.10.14)
08.10.2014 16:24	Абдрахманов А О	116	 О проекте Закона «О внесении изменений и дополнения в Закон Кыргызской Республики «О наркотических средствах, психотропных веществах и прекурсорах» (вносится на первое чтение)(инициатор - Правительство, постановление № 508 от 29.08.14) (решение Комитета по социальной политике - принять в первом чтении, решение Комитета по законности, правопорядку и борьбе с преступностью - одобрить, решение Комитета по экономической и фискальной политике - одобрить)(обсуждение проводилось 02.10.14)
